Graph type;Number of nodes;Edge chance;Opinions affected by Cascade;Opinions Changed by Cascade
random;50;0.7;45;11
random;50;0.7;46;6
random;50;0.7;47;14
random;50;0.7;46;13
random;50;0.7;45;11
random;50;0.7;47;19
random;10;0.7;6;0
random;10;0.7;7;1
random;10;0.7;7;3
random;10;0.7;7;4
random;10;0.7;7;0
random;10;0.7;7;1
random;10;0.7;6;1
random;10;0.7;8;2
random;50;0.7;46;13
random;20;0.7;17;8
random;20;0.3;13;7
random;20;0.3;10;3
random;20;0.3;13;3
random;20;0.3;14;11
random;20;0.3;13;3
random;20;0.3;10;5
random;20;0.3;13;2
random;20;0.3;12;1
random;20;0.3;14;1
random;20;0.3;13;5
random;20;0.3;12;5
random;20;0.3;0;0
random;20;0.3;12;3
random;20;0.3;10;0
random;20;0.3;13;0
random;20;0.3;17;5
random;20;0.3;11;4
random;20;0.3;12;5
random;20;0.3;12;4
random;10;0.3;1;1
random;10;0.5;6;2
random;10;0.5;6;1
random;10;0.5;6;0
random;10;0.5;4;2
random;10;0.5;5;1
random;10;0.5;5;2
random;10;0.5;6;1
random;10;0.5;6;3
random;10;0.5;5;3
random;10;0.5;3;0
random;10;0.5;5;2
random;10;0.5;5;0
random;10;0.5;1;0
random;10;0.5;0;0
random;10;0.5;0;0
random;10;0.5;0;0
random;10;0.5;6;1
random;10;0.5;6;2
random;10;0.5;7;2
random;10;0.5;5;0
random;10;0.5;6;1
random;10;0.5;6;1
random;10;0.5;4;1
random;10;0.5;7;2
random;15;0.3;7;2
random;15;0.3;12;7
random;15;0.3;9;2
undefined;15;line;13;5
undefined;15;line;13;5
random;15;0.3;8;4
random;15;0.3;6;2
random;15;0.3;7;3
random;50;0.1;23;7;random
random;50;0.1;25;5;random
random;50;0.1;37;14;bfs
random;50;0.1;34;12;bfs
random;50;0.1;29;5;bfs
random;50;0.1;19;8;bfs
random;50;0.1;31;8;bfs
random;50;0.1;34;8;bfs
random;50;0.1;28;6;bfs
random;50;0.1;27;5;bfs
random;50;0.1;35;7;bfs
random;50;0.1;31;5;bfs
random;50;0.1;28;12;bfs
random;50;0.1;33;12;bfs
random;50;0.1;36;10;bfs
random;50;0.1;29;11;bfs
random;50;0.1;26;7;bfs
random;50;0.1;33;9;bfs
random;50;0.1;29;9;bfs
random;50;0.1;26;5;bfs
random;50;0.1;23;6;bfs
random;50;0.1;27;10;bfs
random;50;0.1;29;7;bfs
random;50;0.1;29;5;bfs
random;50;0.1;32;12;bfs
random;50;0.1;24;7;bfs
random;50;0.1;28;7;bfs
random;50;0.1;35;5;bfs
random;50;0.1;30;7;bfs
random;50;0.1;35;13;bfs
random;50;0.1;24;6;bfs
random;50;0.1;24;6;bfs
random;50;0.1;25;4;bfs
random;50;0.1;29;8;bfs
random;50;0.1;31;9;bfs
random;50;0.1;33;11;bfs
random;50;0.1;24;6;bfs
random;50;0.1;32;11;bfs
random;50;0.1;30;9;bfs
random;50;0.1;21;3;bfs
random;50;0.1;27;8;bfs
random;50;0.1;35;10;bfs
random;50;0.1;27;8;bfs
random;50;0.1;26;8;bfs
random;50;0.1;24;4;bfs
random;50;0.1;41;17;bfs
random;50;0.1;31;12;bfs
random;50;0.1;28;6;bfs
random;50;0.1;31;12;bfs
random;50;0.1;26;7;bfs
random;50;0.1;29;6;bfs
random;50;0.1;37;9;bfs
random;50;0.1;32;9;bfs
random;50;0.1;32;6;bfs
random;50;0.1;26;10;bfs
random;50;0.1;22;4;bfs
random;50;0.1;34;6;bfs
random;50;0.1;33;6;bfs
random;50;0.1;33;10;bfs
random;50;0.1;29;3;bfs
random;50;0.1;36;7;bfs
random;50;0.1;30;7;bfs
random;50;0.1;34;17;bfs
random;50;0.1;26;11;bfs
random;50;0.1;38;12;bfs
random;50;0.1;35;12;bfs
random;50;0.1;31;14;bfs
random;50;0.1;21;4;bfs
random;50;0.1;33;7;bfs
random;50;0.1;31;12;bfs
random;50;0.1;28;9;bfs
random;50;0.1;25;4;bfs
random;50;0.1;29;10;bfs
random;50;0.1;33;7;bfs
random;50;0.1;29;8;bfs
random;50;0.1;32;18;bfs
random;50;0.1;29;9;bfs
random;50;0.1;32;11;bfs
random;50;0.1;35;9;bfs
random;50;0.1;29;11;bfs
random;50;0.1;32;7;bfs
random;50;0.1;23;6;bfs
random;50;0.1;39;12;bfs
random;50;0.1;37;11;bfs
random;50;0.1;35;12;bfs
random;50;0.1;31;7;bfs
random;50;0.1;34;11;bfs
random;50;0.1;31;8;bfs
random;50;0.1;31;7;bfs
random;50;0.1;33;12;bfs
random;50;0.1;37;12;bfs
random;50;0.1;33;8;bfs
random;50;0.1;22;8;bfs
random;50;0.1;27;10;bfs
random;50;0.1;31;11;bfs
random;50;0.1;31;6;bfs
random;50;0.1;35;13;bfs
random;50;0.1;33;8;bfs
random;50;0.1;31;11;bfs
random;50;0.1;36;6;bfs
random;50;0.1;33;6;bfs
random;50;0.1;35;13;bfs
random;50;0.1;29;9;bfs
random;50;0.1;31;6;bfs
random;50;0.1;30;14;bfs
random;50;0.1;29;9;bfs
random;50;0.1;31;12;bfs
random;50;0.1;32;7;bfs
random;50;0.1;29;7;bfs
random;50;0.1;38;17;bfs
random;50;0.1;26;10;bfs
random;50;0.1;32;7;bfs
random;50;0.1;27;7;bfs
random;50;0.1;33;6;bfs
random;50;0.1;29;8;bfs
random;50;0.1;30;11;bfs
random;50;0.1;30;6;bfs
random;50;0.1;26;6;bfs
random;50;0.1;30;9;bfs
random;50;0.1;32;7;bfs
random;50;0.1;29;11;bfs
random;50;0.1;31;8;bfs
random;50;0.1;37;9;bfs
random;50;0.1;28;7;bfs
random;50;0.1;33;7;bfs
random;50;0.1;24;7;bfs
random;50;0.1;27;7;bfs
random;50;0.1;20;9;bfs
random;50;0.1;34;16;bfs
random;50;0.1;27;5;bfs
random;50;0.1;33;10;bfs
random;50;0.1;35;11;bfs
random;50;0.1;32;7;bfs
random;50;0.01;0;0;bfs
random;500;0.01;323;92;bfs
random;500;0.01;316;96;bfs
random;500;0.01;309;75;bfs
random;500;0.01;298;61;bfs
random;500;0.01;297;87;bfs
random;500;0.01;306;82;bfs
random;500;0.01;280;69;bfs
random;500;0.01;275;70;random
random;500;0.01;262;57;random
random;500;0.01;261;60;random
random;500;0.01;258;63;random
random;500;0.01;269;68;random
random;500;0.01;267;64;random
random;500;0.01;279;75;random
random;500;0.01;266;75;random
random;500;0.01;280;61;random
random;500;0.01;254;67;random
random;500;0.01;297;78;bfs
random;500;0.01;302;104;bfs
random;500;0.01;294;64;bfs
